jobname,old_id,file
JT1A40X0D,D0200,.\D0200.vbs
JT1B40X0D,D0801,.\D0801.vbs
JT1C40X0D,DELETE,.\DELETE\DataExport.exe
JT1C41X0D,D0802,.\D0802.vbs
JT1F40X0D,D0101,.\D0101.vbs
JT1F40X1D,D0200,.\D0200.vbs
JT1F40X2D,D0102,.\D0102.vbs
JT1F40X3D,D0205,.\D0205.vbs
JT1F40X4D,D0110 ,.\D0110.vbs
JT1F50X0D,D0120,.\D0120.vbs
JT1F51X0D,D0121,.\D0121.vbs
JT1F51X1D,D0122,.\D0122.vbs
JT1F42X0D,D0210 ,.\D0210.vbs
JT1F42X1D,D0211 ,.\D0211.vbs
JT1F42X2D,D0212 ,.\D0212.vbs
JT1F43X0D,A0003,.\A0003\A0003.vbs
JT1F44X0D,A0001,.\A0001\A0001.vbs
JT1G40X0D,D0301,.\D0301.vbs
JT1G41X0D,D0230,.\D0230.vbs
JT1G42X0D,D0564,.\D0564.vbs
JT1G43X0D,D0306,.\D0306.ps1
JT1G43X1D,D0307,.\D0307.vbs
JT1G43X2D,D0308,.\D0308.ps1
JT1G43X3D,D0305,.\D0305.ps1
JT1G44X0D,D0201,.\D0201.vbs
JT1G44X1D,D0204,.\D0204.vbs
JT1G45X0D,D0309,.\D0309.vbs
JT1G46X0D,D0250,.\D0250.vbs
JT1G46X1D,D0251,.\D0251.vbs
JT1G47X0D,D0601,.\D0601.vbs
JT1G47X1D,D0602,.\D0602.vbs
JT1G48X0D,BT010,.\BT010\GetBBGFTP_BT010.wsf
JT1G48X1D,D0699,.\D0699.vbs
JT1G49X0D,SBA0090,.\SBA_BATCH\SBA\SBA0090.vbs
JT1G49X1D,SBA0091,.\SBA_BATCH\SBA\SBA0091.vbs
JT1G49X2D,SBA0080,.\SBA_BATCH\SBA\SBA0080.vbs
JT1H40X0D,D0130,.\D0130\AMVR_PDF.vbs
JT1H41X0D,D0302,.\D0302.vbs
JT1H42X0D,D0708,.\D0708\AMVRDATA_GET_FTP.bat
JT1H43X0D,SA003,.\SA003\FTP\引合情報メイン.bat
JT1H60X0D,D0535,.\D0535.vbs
JT1H61X0D,D0530,.\D0530.vbs
JT1H61X1D,D0531,.\D0531.vbs
JT1H61X2D,D0536,.\D0536.vbs
JT1H61X3D,D0537,.\D0537.vbs
JT1H62X0D,D0580,.\D0580.vbs
JT1H63X0D,D0510,.\D0510.vbs
JT1H63X1D,D0511,.\D0511.vbs
JT1H64X0D,D0515,.\D0515.vbs
JT1H64X1D,D0516,.\D0516.vbs
JT1H65X0D,D0521,.\D0521.vbs
JT1H66X0D,D0528,.\D0528.ps1
JT1H66X1D,D0523,.\D0523.vbs
JT1H67X0D,D0525,.\D0525.vbs
JT1H67X1D,D0526,.\D0526.vbs
JT1H68X0D,D0540,.\D0540.vbs
JT1H68X1D,D0541,.\D0541.vbs
JT1H69X0D,D0527,.\D0527.ps1
JT1H69X1D,D0520,.\D0520.vbs
JT1H6AX0D,D0544,.\D0544.vbs
JT1H6AX1D,D0545,.\D0545.vbs
JT1H6BX0D,D0590,.\D0590.vbs
JT1H6BX1D,D0591,.\D0591.vbs
JT1H6BX2D,D0592,.\D0592.vbs
JT1H6BX3D,D0593,.\D0593.vbs
JT1H6CX0D,D0599,.\D0599.vbs
JT1H45X0D,SA007_Omgeo,.\SA007\CSSS\csss.bat
JT1H45X1D,SA007_PSOL,.\SA007\PSOL\CheckOmgeo.bat
JT1I40X0D,D0903,.\D0903.vbs
JT1I41X0D,A0002,.\A0002\A0002.vbs
JT1I42X0D,D0514,.\D0514.vbs
JT1J40X0D,D0512,.\D0512.vbs
JT1J40X1D,D0513,.\D0513.vbs
JT1J41X0D,D0542,.\D0542.vbs
JT1J42X0D,D0543,.\D0543.vbs
JT1J50X0D,D0111,.\D0111.vbs
JT1J51X0D,D0304,.\D0304.vbs
JT1J44X0D,A0006,.\A0006\A0006.vbs
JT1J52X0D,G0110,.\G0110.vbs
JT1J52X1D,G0112,.\G0112.vbs
JT1J53X0D,G0101,.\G0101.vbs
JT1J53X1D,G0113,.\G0113.vbs
JT1J53X2D,G0111,.\G0111.vbs
JT1J53X3D,G0140,.\G0140.vbs
JT1J53X4D,G0120,.\G0120.vbs
JT1J53X5D,G0130,.\G0130.vbs
JT1J53X6D,G0131,.\G0131.vbs
JT1K40X0D,D0560,.\D0560.vbs
JT1K40X1D,D0561,.\D0561.vbs
JT1K41X0M,M0200,.\M0200.vbs
JT1L40X0M,M0400,.\M0120_NEW_BATCH.vbs
JT1O40X0D,SBA0050,.\SBA_BATCH\SBA\SBA0050.vbs
JT1O40X1D,SBA0051,.\SBA_BATCH\SBA\SBA0051.vbs
JT1O41X0D,SBA0060,.\SBA_BATCH\SBA\SBA0060.vbs
JT1O41X1D,SBA0061,.\SBA_BATCH\SBA\SBA0061.vbs
JT1P50X0D,D0565,.\D0565.vbs
JT1P51X0D,D0566,.\D0566.vbs
JT1P41X0D,D0568,.\D0568.vbs
JT1P41X1D,D0569,.\D0569.vbs
JT1Q40X0D,D0305,.\D0305.ps1
JT1Q40X1D,D0303,.\D0303.vbs
JT1Q41X0D,D0567,.\D0567.vbs
JT1Q42X0D,D0562,.\D0562.vbs
JT1Q42X1D,D0563,.\D0563.vbs
JT1Q43X0W,W0301,.\W0301.vbs
JT1Q43X1W,W0302,.\W0302.vbs
